event,property_username,property_$initial_referring_domain,property_$initial_referrer,property_$screen_width,property_$referring_domain,property_distinct_id,property_$city,property_$screen_height,property_path,property_$referrer,property_mp_country_code,property_$region,property_mp_lib,property_currentTime,property_$device,property_time,property_$os,property_$browser,property_subject
Message View,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/messages/cZLsPADnwegtZ6HBH,,US,New York,web,1404234797,,1404209598,Windows,Chrome,Availability for Meeting About Strategic Plan
Back to Inbox,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/survey,,US,New York,web,1404234800,,1404209601,Windows,Chrome,
Message View,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/messages/hhTPRTpWPkAJgwc6B,,US,New York,web,1404234875,,1404209676,Windows,Chrome,Back from Vacation Everybody!!
Back to Inbox,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/survey,,US,New York,web,1404234876,,1404209677,Windows,Chrome,
Message View,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/messages/kvRDhF2Bjnt24Tnin,,US,New York,web,1404234937,,1404209738,Windows,Chrome,Wait on the Marketing Report
Back to Inbox,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/survey,,US,New York,web,1404234941,,1404209742,Windows,Chrome,
Message View,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/messages/STimz7npEeMjEsxhP,,US,New York,web,1404234999,,1404209799,Windows,Chrome,This week is crazy for me
Back to Inbox,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/survey,,US,New York,web,1404235000,,1404209801,Windows,Chrome,
Message View,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/messages/arDQZWXY3Kwv7iJ5L,,US,New York,web,1404235058,,1404209858,Windows,Chrome,Summary has some challenges
Back to Inbox,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/survey,,US,New York,web,1404235059,,1404209860,Windows,Chrome,
Message View,oleary5,$direct,$direct,1600,,146b47b861b5a-05f8e4846-4e48022f-13c680-146b47b861d15c,Buffalo,900,/messages/fJNoHbFCFHwZe3yG9,,US,New York,web,1404235122,,1404209923,Windows,Chrome,Meeting
